,,,,,,,,,,
,Sectors to select from:,Display on the website,alpha,beta,gamma,sum,,,Assimilated to (to derive alpha beta gamma),
,Government / Public Sector,No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!,,,,0%,,,,
,Agriculture / Forestry / Fishing,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Arts / Design / Creative Services,Take a look at your sector's potential across all contribution dimensions!,22%,12%,4%,38%,"""The Arts & Creative Services sector has meaningful contributive potential among the 100+ sub-sectors analysed by the CCF, influencing culture, design and sustainable innovation.""",,91.02,Museums activities
,Consumer Goods,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Telecommunications,Take a look at your sector's potential across all contribution dimensions!,18%,18%,6%,41%,"""The Telecommunications sector has significant contributive potential among the 100+ sub-sectors analysed by the CCF, supporting infrastructure for sustainable connectivity.""",,61.20,Wireless telecommunications activities
,Other (please specify),Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Take a look at your sector's potential across all contribution dimensions!,,,,,,,,,
,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,,,,,,
,Dedicated methodology will be developed shortly for financial institutions - keep in touch!,,,,,,,,,
,No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!,,,,,,,,,
